iter	Passed	Remaining
0	3	3506
1	6	3172
2	9	2999
3	12	3179
4	15	3078
5	17	2934
6	20	2852
7	22	2751
8	24	2658
9	26	2631
10	28	2554
11	30	2485
12	31	2422
13	35	2481
14	38	2522
15	41	2543
16	44	2565
17	46	2543
18	50	2588
19	52	2557
20	55	2589
21	58	2612
22	61	2633
23	66	2686
24	68	2680
25	71	2664
26	73	2639
27	76	2653
28	79	2670
29	82	2661
30	85	2668
31	89	2721
32	93	2727
33	95	2723
34	99	2733
35	102	2742
36	105	2738
37	107	2726
38	110	2715
39	113	2726
40	116	2718
41	121	2778
42	124	2761
43	126	2741
44	128	2728
45	132	2739
46	135	2745
47	136	2712
48	138	2696
49	142	2698
50	147	2749
51	151	2766
52	153	2748
53	156	2741
54	160	2756
55	164	2776
56	167	2766
57	169	2751
58	172	2753
59	178	2798
60	181	2799
61	184	2794
62	187	2791
63	192	2813
64	195	2819
65	199	2826
66	202	2815
67	206	2832
68	210	2845
69	213	2840
70	216	2833
71	219	2826
72	221	2808
73	223	2800
74	226	2790
75	228	2776
76	230	2764
77	232	2750
78	235	2742
79	237	2736
80	241	2740
81	244	2736
82	247	2733
83	249	2725
84	253	2725
85	256	2722
86	258	2707
87	260	2696
88	262	2686
89	265	2684
90	269	2690
91	271	2676
92	274	2673
93	275	2659
94	277	2647
95	280	2637
96	283	2637
97	285	2629
98	289	2631
99	291	2621
100	294	2619
101	297	2618
102	301	2625
103	304	2620
104	306	2613
105	308	2604
106	311	2600
107	313	2592
108	316	2584
109	318	2577
110	321	2576
111	324	2568
112	328	2575
113	332	2582
114	335	2583
115	338	2575
116	340	2572
117	342	2563
118	346	2567
119	350	2569
120	353	2565
121	356	2566
122	359	2561
123	362	2562
124	365	2558
125	367	2551
126	370	2548
127	375	2558
128	379	2559
129	381	2555
130	384	2547
131	386	2540
132	390	2545
133	394	2548
134	397	2548
135	401	2548
136	405	2557
137	409	2558
138	413	2562
139	416	2557
140	419	2557
141	423	2558
142	425	2551
143	429	2554
144	433	2553
145	436	2550
146	440	2554
147	443	2551
148	445	2546
149	448	2544
150	452	2543
151	454	2535
152	458	2537
153	461	2534
154	463	2528
155	466	2525
156	469	2518
157	471	2513
158	474	2507
159	477	2505
160	479	2501
161	483	2498
162	485	2494
163	489	2495
164	493	2496
165	495	2491
166	498	2487
167	501	2483
168	503	2476
169	505	2467
170	507	2459
171	509	2454
172	511	2447
173	513	2438
174	515	2430
175	517	2421
176	519	2417
177	522	2413
178	526	2414
179	529	2412
180	531	2405
181	534	2400
182	535	2392
183	538	2388
184	540	2382
185	544	2381
186	546	2377
187	550	2375
188	553	2374
189	557	2375
190	560	2372
191	562	2367
192	565	2365
193	568	2362
194	571	2359
195	575	2358
196	578	2357
197	581	2355
198	584	2352
199	589	2357
200	592	2355
201	594	2350
202	597	2347
203	600	2342
204	603	2340
205	606	2336
206	609	2335
207	612	2331
208	615	2328
209	617	2322
210	621	2322
211	624	2320
212	627	2319
213	630	2315
214	634	2315
215	638	2316
216	641	2314
217	645	2314
218	648	2313
219	652	2311
220	654	2308
221	658	2306
222	665	2319
223	671	2326
224	676	2329
225	680	2332
226	685	2334
227	687	2328
228	691	2326
229	693	2322
230	696	2318
231	699	2316
232	703	2314
233	705	2311
234	708	2306
235	711	2304
236	716	2307
237	719	2304
238	723	2303
239	726	2300
240	730	2301
241	734	2299
242	736	2295
243	741	2296
244	744	2294
245	747	2291
246	750	2289
247	753	2286
248	757	2285
249	759	2279
250	763	2278
251	766	2276
252	769	2271
253	773	2271
254	776	2268
255	779	2265
256	782	2261
257	786	2260
258	789	2259
259	792	2256
260	795	2252
261	798	2248
262	801	2246
263	804	2243
264	807	2240
265	810	2236
266	813	2233
267	817	2232
268	820	2229
269	824	2227
270	827	2227
271	832	2227
272	836	2226
273	838	2222
274	841	2218
275	844	2214
276	846	2209
277	850	2207
278	852	2204
279	856	2202
280	859	2199
281	861	2194
282	864	2190
283	867	2187
284	871	2185
285	874	2182
286	877	2180
287	880	2177
288	883	2174
289	887	2173
290	889	2168
291	893	2165
292	896	2163
293	899	2159
294	902	2156
295	906	2155
296	908	2150
297	911	2146
298	914	2144
299	917	2141
300	920	2136
301	923	2134
302	926	2131
303	929	2127
304	934	2129
305	938	2127
306	941	2125
307	944	2122
308	947	2119
309	950	2115
310	954	2113
311	956	2110
312	959	2105
313	963	2105
314	966	2101
315	968	2096
316	970	2090
317	972	2085
318	975	2081
319	977	2077
320	980	2073
321	983	2070
322	985	2065
323	987	2059
324	990	2056
325	993	2055
326	996	2051
327	1000	2049
328	1002	2045
329	1005	2040
330	1007	2036
331	1010	2033
332	1012	2027
333	1014	2022
334	1016	2017
335	1018	2012
336	1020	2007
