iter	Passed	Remaining
0	138	138783
1	150	75215
2	162	54056
3	173	43217
4	184	36708
5	189	31472
6	202	28712
7	212	26362
8	219	24191
9	232	23035
10	240	21585
11	249	20519
12	259	19668
13	267	18852
14	277	18221
15	283	17446
16	294	17037
17	301	16461
18	313	16202
19	322	15812
20	329	15350
21	333	14837
22	359	15261
23	375	15259
24	383	14952
25	392	14717
26	403	14547
27	410	14262
28	421	14126
29	429	13886
30	439	13728
31	453	13726
32	462	13546
33	474	13472
34	484	13368
35	492	13188
36	500	13030
37	510	12925
38	525	12955
39	541	12990
40	559	13075
41	573	13071
42	584	13005
43	592	12864
44	604	12818
45	609	12634
46	634	12857
47	645	12803
48	654	12696
49	662	12591
50	667	12424
51	676	12331
52	685	12247
53	695	12176
54	703	12083
55	713	12031
56	719	11903
57	727	11818
58	736	11746
59	747	11703
60	763	11754
61	770	11655
62	777	11561
63	783	11464
64	793	11413
65	800	11322
66	809	11279
67	815	11178
68	823	11117
69	829	11016
70	836	10949
71	842	10855
72	848	10773
73	857	10731
74	875	10801
75	882	10733
76	891	10685
77	896	10601
78	905	10556
79	911	10486
80	922	10460
81	928	10394
82	938	10365
83	950	10365
84	958	10313
85	970	10309
86	976	10251
87	986	10222
88	995	10193
89	1003	10146
90	1008	10073
91	1016	10031
92	1025	9997
93	1036	9992
94	1045	9963
95	1052	9915
96	1063	9903
97	1069	9847
98	1080	9836
99	1087	9789
100	1095	9753
101	1102	9704
102	1111	9676
103	1126	9702
104	1135	9681
105	1151	9710
106	1171	9775
107	1185	9789
108	1198	9796
109	1210	9797
110	1225	9817
111	1234	9784
112	1248	9802
113	1260	9793
114	1271	9786
115	1280	9759
116	1293	9759
117	1303	9741
118	1311	9707
119	1321	9691
120	1338	9723
121	1348	9704
122	1357	9678
123	1367	9663
124	1379	9656
125	1392	9657
126	1403	9649
127	1414	9636
128	1422	9603
129	1430	9576
130	1437	9534
131	1449	9529
132	1455	9488
133	1466	9475
134	1476	9459
135	1483	9426
136	1493	9405
137	1500	9370
138	1510	9359
139	1517	9320
140	1526	9299
141	1549	9362
142	1563	9368
143	1573	9351
144	1579	9314
145	1587	9285
146	1594	9249
147	1604	9236
148	1611	9202
149	1620	9180
150	1630	9165
151	1640	9151
152	1648	9127
153	1658	9108
154	1669	9100
155	1677	9075
156	1687	9058
157	1695	9037
158	1708	9035
159	1721	9036
160	1743	9084
161	1763	9124
162	1775	9114
163	1783	9089
164	1795	9084
165	1805	9070
166	1814	9049
167	1822	9025
168	1836	9029
169	1844	9006
170	1852	8979
171	1863	8968
172	1869	8938
173	1879	8924
174	1892	8923
175	1901	8903
176	1912	8892
177	1921	8873
178	1942	8909
179	1955	8909
180	1963	8885
181	1986	8928
182	1993	8898
183	1999	8868
184	2008	8847
185	2016	8823
186	2026	8809
187	2038	8803
188	2048	8790
189	2056	8766
190	2062	8737
191	2072	8722
192	2076	8683
193	2087	8671
194	2099	8667
195	2106	8640
196	2118	8635
197	2125	8610
198	2135	8594
199	2147	8590
200	2157	8575
201	2166	8557
202	2174	8535
203	2183	8520
204	2190	8494
205	2199	8476
206	2206	8451
207	2217	8443
208	2225	8421
209	2232	8396
210	2241	8381
211	2248	8357
212	2257	8339
213	2264	8318
214	2271	8294
215	2277	8267
216	2283	8240
217	2289	8214
218	2296	8190
219	2304	8169
220	2310	8144
221	2317	8122
222	2330	8121
223	2339	8104
224	2347	8084
225	2356	8070
226	2363	8047
227	2371	8029
228	2377	8003
229	2383	7980
230	2389	7955
231	2395	7928
232	2403	7910
233	2409	7886
234	2415	7862
235	2420	7835
236	2424	7804
237	2431	7784
238	2438	7763
239	2443	7738
